GEN	3	2	6	H1588	garden
GEN	3	3	0	H6529	fruit
GEN	3	3	1	H6086	tree
GEN	3	3	2	H8432	midst
GEN	3	3	3	H1588	garden
GEN	3	3	4	H430	God
GEN	3	3	5	H559	said
GEN	3	3	6	H398	eat
GEN	3	3	7	H5060	touch
GEN	3	3	8	H6435	lest
GEN	3	3	9	H4191	die
GEN	3	4	0	H5175	serpent
GEN	3	4	1	H559	said
GEN	3	4	2	H802	woman
GEN	3	4	3	H4191	surely die
GEN	3	5	0	H430	God
GEN	3	5	1	H3045	know
GEN	3	5	2	H3117	day
GEN	3	5	3	H398	eat
GEN	3	5	4	H5869	eyes
GEN	3	5	5	H6491	opened
GEN	3	5	6	H430	gods
GEN	3	5	7	H3045	knowing
GEN	3	5	8	H2896	good
GEN	3	5	9	H7451	evil
GEN	3	6	0	H802	woman
GEN	3	6	1	H7200	saw
GEN	3	6	2	H6086	tree
GEN	3	6	3	H2896	good
GEN	3	6	4	H3978	food
GEN	3	6	5	H1931	it
GEN	3	6	6	H8378	pleasant
GEN	3	6	7	H5869	eyes
GEN	3	6	8	H6086	tree
GEN	3	6	9	H2530	desired
GEN	3	6	10	H7919	wise
GEN	3	6	11	H3947	took
GEN	3	6	12	H6529	thereof
GEN	3	6	13	H398	eat
GEN	3	6	14	H5414	gave
GEN	3	6	15	H1571	also
GEN	3	6	16	H376	husband
GEN	3	6	17	H398	eat
GEN	3	7	0	H5869	eyes
GEN	3	7	1	H8147	both
GEN	3	7	2	H6491	opened
GEN	3	7	3	H1992	they
GEN	3	7	4	H3045	knew
GEN	3	7	5	H5903	naked
GEN	3	7	6	H8609	sewed
GEN	3	7	7	H8384	fig
GEN	3	7	8	H5929	leaves
GEN	3	7	9	H8609	together
GEN	3	7	10	H6213	themselves
GEN	3	7	11	H2290	aprons
GEN	3	8	0	H8085	heard
GEN	3	8	1	H6963	voice
GEN	3	8	2	H430	God
GEN	3	8	3	H1980	walking
GEN	3	8	4	H1588	garden
GEN	3	8	5	H7307	cool
GEN	3	8	6	H3117	day
GEN	3	8	7	H120	Adam
GEN	3	8	8	H802	wife
GEN	3	8	9	H2244	themselves
GEN	3	8	10	H6440	presence
GEN	3	8	11	H430	God
GEN	3	8	12	H8432	amongst
GEN	3	8	13	H6086	trees
GEN	3	8	14	H1588	garden
GEN	3	9	0	H430	God
GEN	3	9	1	H7121	called
GEN	3	9	2	H120	Adam
GEN	3	9	3	H559	said
GEN	3	9	4	H335	thou
GEN	3	10	0	H559	said
GEN	3	10	1	H8085	heard
GEN	3	10	2	H6963	voice
GEN	3	10	3	H1588	garden
GEN	3	10	4	H3372	afraid
GEN	3	10	5	H595	I
GEN	3	10	6	H5903	naked
GEN	3	10	7	H2244	myself
GEN	3	11	0	H559	said
GEN	3	11	1	H4310	Who
GEN	3	11	2	H5046	told
GEN	3	11	3	H5903	naked
GEN	3	11	4	H398	eaten
GEN	3	11	5	H6086	tree
GEN	3	11	6	H6680	thee
GEN	3	11	7	H1115	not
GEN	3	11	8	H398	eat
GEN	3	12	0	H120	man
GEN	3	12	1	H559	said
GEN	3	12	2	H802	woman
GEN	3	12	3	H5414	gavest
GEN	3	12	4	H5978	me
GEN	3	12	5	H1931	she
GEN	3	12	6	H5414	gave
GEN	3	12	7	H6086	tree
GEN	3	12	8	H398	eat
GEN	3	13	0	H430	God
GEN	3	13	1	H559	said
GEN	3	13	2	H802	woman
GEN	3	13	3	H6213	done
GEN	3	13	4	H802	woman
GEN	3	13	5	H559	said
GEN	3	13	6	H5175	serpent
GEN	3	13	7	H5377	me
GEN	3	13	8	H398	eat
GEN	3	14	0	H430	God
GEN	3	14	1	H559	said
GEN	3	14	2	H5175	serpent
GEN	3	14	3	H859	thou
GEN	3	14	4	H6213	done
GEN	3	14	5	H779	cursed
GEN	3	14	6	H929	cattle
GEN	3	14	7	H2416	beast
GEN	3	14	8	H7704	field
GEN	3	14	9	H1512	belly
GEN	3	14	10	H3212	go
GEN	3	14	11	H6083	dust
GEN	3	14	12	H398	eat
GEN	3	14	13	H3117	days
GEN	3	14	14	H2416	life
GEN	3	15	0	H7896	put
GEN	3	15	1	H342	enmity
GEN	3	15	2	H802	woman
GEN	3	15	3	H2233	seed seed
GEN	3	15	4	H7779	bruise
GEN	3	15	5	H7218	head
GEN	3	15	6	H7779	bruise
GEN	3	15	7	H6119	heel
GEN	3	16	0	H802	woman
GEN	3	16	1	H559	said
GEN	3	16	2	H7235	greatly multiply
GEN	3	16	3	H6093	sorrow
GEN	3	16	4	H2032	conception
GEN	3	16	5	H6089	sorrow
GEN	3	16	6	H3205	forth
GEN	3	16	7	H1121	children
GEN	3	16	8	H8669	desire
GEN	3	16	9	H376	husband
GEN	3	16	10	H4910	rule
GEN	3	17	0	H121	Adam
GEN	3	17	1	H559	said
GEN	3	17	2	H8085	hearkened
GEN	3	17	3	H6963	voice
GEN	3	17	4	H802	wife
GEN	3	17	5	H398	eaten
GEN	3	17	6	H6086	tree
GEN	3	17	7	H834	which
GEN	3	17	8	H6680	thee
GEN	3	17	9	H559	saying
GEN	3	17	10	H398	eat
GEN	3	17	11	H779	cursed
GEN	3	17	12	H127	ground
GEN	3	17	13	H6093	sorrow
GEN	3	17	14	H398	eat
GEN	3	17	15	H3605	all
GEN	3	17	16	H3117	days
GEN	3	17	17	H2416	life
GEN	3	18	0	H6975	also
GEN	3	18	1	H1863	thistles
GEN	3	18	2	H6779	forth
GEN	3	18	3	H398	eat
GEN	3	18	4	H6212	herb
GEN	3	18	5	H7704	field
GEN	3	19	0	H2188	sweat
GEN	3	19	1	H639	face
GEN	3	19	2	H398	eat
GEN	3	19	3	H3899	bread
GEN	3	19	4	H5704	till
GEN	3	19	5	H7725	return
GEN	3	19	6	H127	ground
GEN	3	19	7	H3947	taken
GEN	3	19	8	H6083	dust
GEN	3	19	9	H859	thou
GEN	3	19	10	H6083	dust
GEN	3	19	11	H7725	return
GEN	3	20	0	H120	Adam
GEN	3	20	1	H7121	called
GEN	3	20	2	H802	wife’s
GEN	3	20	3	H8034	name
GEN	3	20	4	H2332	Eve
GEN	3	20	5	H517	mother
GEN	3	20	6	H2416	living
GEN	3	21	0	H120	Adam
GEN	3	21	1	H802	wife
GEN	3	21	2	H430	God
GEN	3	21	3	H6213	make
GEN	3	21	4	H3801	coats
GEN	3	21	5	H5785	skins
GEN	3	21	6	H3847	them
GEN	3	22	0	H430	God
GEN	3	22	1	H559	said
GEN	3	22	2	H2005	Behold
